"['blob.core.windows.net', '[Errno -5] No address associated with hostname']"
"['www.amazonalexa.com', '[Errno -2] Name or service not known']"
"['fp.measure.office.com', '[Errno -5] No address associated with hostname']"
"['www.atomile.com', '[Errno -2] Name or service not known']"
"['aria.microsoft.com', '[Errno -5] No address associated with hostname']"
"['beian.gov.cn', '[Errno -5] No address associated with hostname']"
"['www.bamgrid.com', '[Errno -2] Name or service not known']"
"['www.aws.dev', '[Errno -2] Name or service not known']"
"['www.akamaihd.net', '[Errno -2] Name or service not known']"
"['www.samsungcloudsolution.com', '[Errno -2] Name or service not known']"
"['www.imrworldwide.com', '[Errno -2] Name or service not known']"
"['pipe.aria.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.msidentity.com', '[Errno -2] Name or service not known']"
"['www.salesforceliveagent.com', '[Errno -2] Name or service not known']"
"['www.playstation.net', '[Errno -2] Name or service not known']"
"['www.facebook-hardware.com', '[Errno -2] Name or service not known']"
"['www.openx.net', '[Errno -2] Name or service not known']"
"['www.dns.google', '[Errno -2] Name or service not known']"
"['miit.gov.cn', '[Errno -5] No address associated with hostname']"
"['www.samsungqbe.com', '[Errno -2] Name or service not known']"
"['www.cloudapp.net', '[Errno -5] No address associated with hostname']"
"['res.office365.com', '[Errno -5] No address associated with hostname']"
