Rank,Domain,Use_Sub_www(Rel),Use_Host_Sub(Rel),Use_Host_Sub(Abs),Relative URI,Absolute URI,URI_Option
939,nicovideo.jp,True,indifferent,True,True,True,indifferent
946,kargo.com,True,indifferent,True,True,True,indifferent
951,cdnjs.cloudflare.com,True,indifferent,indifferent,True,True,indifferent
955,marca.com,True,indifferent,True,True,True,indifferent
956,psu.edu,True,indifferent,True,True,True,indifferent
964,yale.edu,True,indifferent,True,True,True,indifferent
968,agoda.com,unknown,True,True,True,True,indifferent
969,mckinsey.com,unknown,True,True,True,True,indifferent
971,erome.com,True,indifferent,True,True,True,indifferent
972,connatix.com,indifferent,indifferent,indifferent,True,True,indifferent
985,gsmarena.com,True,indifferent,True,True,True,indifferent
986,clients3.google.com,True,indifferent,indifferent,True,True,indifferent
987,atlassian.com,True,indifferent,True,True,True,indifferent
988,onet.pl,True,indifferent,True,True,True,indifferent
992,innovid.com,True,indifferent,True,True,True,indifferent
996,n-tv.de,True,indifferent,True,True,True,indifferent
997,flurry.com,True,indifferent,True,True,True,indifferent
998,tynt.com,False,True,indifferent,True,True,indifferent
1003,chess.com,True,indifferent,True,True,True,indifferent
1006,www.instagram.com,True,indifferent,indifferent,True,True,indifferent
1012,dbankcloud.com,True,indifferent,True,True,True,indifferent
1016,sciencedaily.com,True,indifferent,True,True,True,indifferent
1017,ecosia.org,True,indifferent,True,True,True,indifferent
1018,merriam-webster.com,True,indifferent,True,True,True,indifferent
1023,newsweek.com,True,indifferent,True,True,True,indifferent
1026,gofundme.com,True,indifferent,True,True,True,indifferent
1028,ouest-france.fr,unknown,True,True,True,True,indifferent
1029,bfmtv.com,True,indifferent,True,True,True,indifferent
1031,idnes.cz,True,indifferent,True,True,True,indifferent
1033,jimdo.com,True,indifferent,True,True,True,indifferent
1034,klaviyo.com,True,indifferent,True,True,True,indifferent
1035,openstreetmap.org,True,indifferent,True,True,True,indifferent
1036,fullstory.com,True,indifferent,True,True,True,indifferent
1037,quantummetric.com,True,indifferent,True,True,True,indifferent
1038,sportskeeda.com,unknown,True,True,True,True,indifferent
1040,clarin.com,unknown,True,True,True,True,indifferent
1043,flipkart.com,unknown,True,True,True,True,indifferent
1046,netgear.com,True,indifferent,True,True,True,indifferent
1048,creditkarma.com,unknown,True,True,True,True,indifferent
1050,nu.nl,unknown,True,True,True,True,indifferent
1051,in.pinterest.com,indifferent,indifferent,indifferent,True,True,indifferent
1052,hindustantimes.com,unknown,True,True,True,True,indifferent
1053,nexusmods.com,unknown,True,True,True,True,indifferent
1055,tokopedia.com,unknown,True,True,True,True,indifferent
1056,upenn.edu,True,indifferent,True,True,True,indifferent
1060,interia.pl,True,indifferent,True,True,True,indifferent
1062,samsungosp.com,True,indifferent,indifferent,True,True,indifferent
1063,joinhoney.com,True,indifferent,True,True,True,indifferent
1064,vmware.com,unknown,True,True,True,True,indifferent
1070,india.com,unknown,True,True,True,True,indifferent
1072,zdnet.com,True,indifferent,True,True,True,indifferent
1073,permutive.com,indifferent,indifferent,indifferent,True,True,indifferent
1074,otto.de,True,indifferent,True,True,True,indifferent
1078,ocsp.r2m02.amazontrust.com,True,indifferent,indifferent,True,True,indifferent
